site,treat_cont,plot,elevation ,slope,aspect_deg,per_opencanopy,overstory_density,shrubs_per,litter_per,forbes_per,grasses_per,vaccinium_per,thimble_per,angelica_per,grass_per,lonicera_per,arnica_per,strawb_per,epilobium_per,tallbluebell_per,jacobsladder_per,meadowrue_per,geranium_per,horsetail_per,delphinium_per,merrigold_per,anemone_per,cowparsnip_per,alexander_per,ribes_per,groundsel_per,willow_per
11a,t ,11a1,3323,6,320,39.26,60.74,5,10,70,15,50,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,t ,11a2,3341,5,229,15.86,84.14,5,15,75,5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,t ,11a3,3307,9,220,22.1,77.9,30,20,45,5,NA,NA,NA,50,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,t ,11a4,3289,7,255,67.86,32.14,15,15,50,20,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,t ,11a5,3297,16,285,39,61,10,25,50,15,33,NA,NA,33,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,t ,11a6,3384,6,290,36.14,63.86,20,15,60,5,50,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,t ,11a7,3378,3,70,52,48,10,15,55,20,50,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,t ,11a8,3308,8,340,30.68,69.32,10,20,60,10,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA
11a,t ,11a9,3326,2,180,62.92,37.08,5,15,70,10,NA,NA,NA,33,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA
11b,c,11b1,3489,11,210,27.82,72.18,25,15,35,25,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b2,3493,15,45,47.84,52.16,20,15,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b3,3459,11,55,20.8,79.2,10,20,60,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b4,3461,3,120,23.14,76.86,5,5,60,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b5,3473,8,69,42.9,57.1,15,20,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b6,3475,1,300,18.72,81.28,10,10,70,10,NA,NA,NA,33,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b7,3489,31,30,17.68,82.32,10,20,60,10,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b8,3433,25,280,20.8,79.2,20,20,50,10,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11b,c,11b9,3429,19,265,26.78,73.22,30,10,40,20,NA,NA,NA,33,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5a,t,5a1,3094,18,260,29.9,70.1,30,10,40,20,20,30,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a2,3102,15,280,22.1,77.9,10,15,40,35,0,40,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a3,3132,8,350,22.1,77.9,25,15,45,15,60,0,0,0,10,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a4,3154,11,300,62.92,37.08,10,10,40,40,20,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a5,3180,7,260,24.7,75.3,5,20,50,25,60,10,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a6,3199,8,230,32.24,67.76,15,40,30,15,30,0,0,10,10,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a7,3204,17,290,56.68,43.32,15,25,30,30,20,0,0,40,0,0,0,10,20,10,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a8,3174,19,310,34.32,65.68,10,20,60,10,70,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,t,5a9,3164,9,230,24.44,75.56,10,15,70,5,20,0,0,0,30,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,c,5b1,3199,22,50,18.98,81.02,10,80,0,10,0,0,80,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
5b,c,5b2,3163,20,60,13,87,10,80,0,10,0,0,40,0,0,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
5b,c,5b3,3107,3,70,16.12,83.88,20,50,20,10,0,20,50,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,c,5b4,3125,11,350,17.94,82.06,0,90,5,5,0,0,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,c,5b5,3130,15,330,14.3,85.7,15,70,5,10,0,40,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,c,5b6,3058,20,56,27.82,72.18,30,10,50,10,0,20,0,0,20,20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0
5b,c,5b7,3023,36,310,15.86,84.14,20,30,30,20,30,30,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,c,5b8,3092,26,20,23.92,76.08,30,30,30,10,50,20,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,c,5b9,3130,32,0,20.8,79.2,20,50,20,10,50,20,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a,t,4a1,3136,13,30,31.98,68.02,35,15,30,20,20,0,0,0,25,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0
4a,t,4a2,3119,2,310,16.38,83.62,20,20,50,10,20,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
4a,t,4a3,3151,8,330,19.5,80.5,2,8,90,0,0,0,0,0,40,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
4a,t,4a4,3123,8,280,7.28,92.72,10,10,70,10,0,0,10,20,30,10,0,0,0,0,20,20,0,10,0,0,0,0,0,0,0
4a,t,4a5,3116,5,80,23.14,76.86,15,15,60,10,60,0,0,0,10,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
4a,t,4a6,3144,3,280,11.44,88.56,10,8,80,2,20,0,0,0,0,0,0,0,0,0,0,30,0,0,40,0,0,0,0,0,0
4a,t,4a7,3178,10,260,26.52,73.48,25,5,60,10,0,0,0,10,25,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
4a,t,4a8,3178,14,250,16.38,83.62,10,10,70,10,60,0,0,0,20,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
4a,t,4a9,3214,4,250,14.82,85.18,10,30,45,15,0,10,0,10,0,0,0,10,0,0,0,10,0,0,0,60,0,0,0,0,0
4b,c,4b1,3153,5,50,13.26,86.74,40,10,50,0,0,30,0,10,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
4b,c,4b2,3179,30,41,18.72,81.28,30,10,50,10,20,30,0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
4b,c,4b3,3161,6,90,29.38,70.62,5,10,70,15,30,0,0,20,0,0,0,20,0,0,0,0,0,0,30,0,0,0,0,0,0
4b,c,4b4,3204,3,40,14.3,85.7,15,25,50,10,30,0,0,30,0,10,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0
4b,c,4b5,3251,15,70,14.3,85.7,25,20,50,5,20,0,0,40,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0
4b,c,4b6,3327,17,140,29.38,70.62,20,20,50,10,70,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
4b,c,4b7,3272,5,0,40.56,59.44,5,20,70,5,0,0,0,30,0,30,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0
4b,c,4b8,3240,9,20,22.36,77.64,10,20,70,0,30,20,0,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b,c,4b9,3211,5,350,45.24,54.76,10,25,60,5,60,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0
1a,t,1a1,3452,5,100,31.98,68.02,10,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
1a,t,1a2,3472,10,110,26.78,73.22,30,60,10,0,60,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a,t,1a3,3477,4,80,26.52,73.48,50,40,5,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a,t,1a4,3504,12,60,32.24,67.76,60,30,10,0,75,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a,t,1a5,3529,8,20,60.06,39.94,20,10,60,10,40,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0
1a,t,1a6,3496,11,130,33.8,66.2,35,15,40,10,60,0,0,0,0,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1a,t,1a7,3504,15,80,74.36,25.64,5,85,10,0,20,0,0,0,0,30,10,10,0,0,0,0,0,0,0,0,0,0,0,20,0
1a,t,1a8,3387,7,80,98.54,1.46,10,70,10,10,50,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1a,t,1a9,3424,4,130,43.94,56.06,20,60,20,0,0,0,0,0,0,30,0,40,0,30,0,0,0,0,0,0,0,0,0,0,0
2a,t,2a1,3548,18,340,17.94,82.06,30,15,45,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a2,3573,21,340,16.38,83.62,20,50,20,10,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a3,3581,7,68,15.08,84.92,10,15,70,5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a4,3532,7,10,29.12,70.88,10,10,70,10,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a5,3495,9,55,64.22,35.78,10,20,65,5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a6,3499,6,78,86.06,13.94,5,0,10,85,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a7,3534,12,90,30.94,69.06,5,40,50,5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a8,3549,15,60,23.4,76.6,5,15,80,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,t,2a9,3645,2,130,95.42,4.58,70,5,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
